iter	MultiClass
258	0.920120726
259	0.9200407708
260	0.9199746864
261	0.9199364955
262	0.9198815083
263	0.9198175151
264	0.9197658372
265	0.9197022873
266	0.919636395
267	0.9195749939
268	0.919470305
269	0.91939168
270	0.9193322906
271	0.9192573453
272	0.9192134154
273	0.9191237208
274	0.9190386902
275	0.9189570191
276	0.9188742371
277	0.9188246188
278	0.9187120683
279	0.9186275698
280	0.9185423963
281	0.9184583313
282	0.9183654302
283	0.9183275778
284	0.9182816634
285	0.9182372309
286	0.9181565408
287	0.9181035262
288	0.9180340765
289	0.9179781231
290	0.9179025215
291	0.917825347
292	0.9177624999
293	0.917687045
294	0.9176135978
295	0.9175455215
296	0.9174694482
297	0.9174184676
298	0.9173448579
299	0.9172794868
300	0.9171993796
301	0.9171349701
302	0.9170891496
303	0.9169925717
304	0.9169238653
305	0.9168759859
306	0.9168167024
307	0.916770392
308	0.9167242555
309	0.9166445244
310	0.9166028801
311	0.9165542322
312	0.9164626915
313	0.9163907717
314	0.916297716
315	0.9162354312
316	0.9161619736
317	0.9160747284
318	0.9159891573
319	0.9159450004
320	0.9158756654
321	0.9158053424
322	0.9157359831
323	0.9156885837
324	0.9156349641
325	0.9155520131
326	0.9154701334
327	0.9154210487
328	0.9153677354
329	0.9153018824
330	0.9152633663
331	0.9152102148
332	0.9151513865
333	0.9151078821
334	0.9150167357
335	0.9149485799
336	0.9148831211
337	0.9148254434
338	0.9147853116
339	0.9147353486
340	0.91469476
341	0.9146405718
342	0.9146017752
343	0.9145359774
344	0.9144653175
345	0.9143991808
346	0.9142827302
347	0.9142191961
348	0.9141604697
349	0.914068558
350	0.9140017844
351	0.9139231368
352	0.91385294
353	0.913805934
354	0.9137490705
355	0.9137126094
356	0.9136730211
357	0.9136007285
358	0.9135455494
359	0.9134860704
360	0.9134390357
361	0.9133892722
362	0.9133275123
363	0.9132916415
364	0.9132070634
365	0.9131522028
366	0.9130845671
367	0.9130104285
368	0.9129740512
369	0.9129258084
370	0.9128569374
371	0.9128281008
372	0.9127960123
373	0.9127621708
374	0.9126777408
375	0.9126425373
376	0.9125840693
377	0.9125353293
378	0.9124399234
379	0.9123771617
380	0.9123197807
381	0.9122733621
382	0.9122064887
383	0.912143558
384	0.9120768036
385	0.9119799856
386	0.9119318405
387	0.9118537732
388	0.9117743174
389	0.9117417643
390	0.9116981496
391	0.9116368178
392	0.9115917995
393	0.9115255193
394	0.9114850242
395	0.9114246129
396	0.9113756448
397	0.9113118194
398	0.9112648693
399	0.911216747
400	0.9111632332
401	0.9111217791
402	0.9110579998
403	0.9109823838
404	0.9109377241
405	0.910913947
406	0.9108493669
407	0.910771266
408	0.9107359046
409	0.9106940661
410	0.9106235932
411	0.9105596224
412	0.9105012385
413	0.9104467282
414	0.9103829322
415	0.9103278961
416	0.9102862567
417	0.9102436512
418	0.9101903433
419	0.9101490907
420	0.9100893046
421	0.9100603061
422	0.9099917434
423	0.9099377927
424	0.9098853171
425	0.9097929014
426	0.90971124
427	0.9096353166
428	0.9095879911
429	0.9095192636
430	0.9094531644
431	0.909389225
432	0.9093436509
433	0.9092841796
434	0.9092125719
435	0.9091538131
436	0.909093284
437	0.9090381382
438	0.9089877673
439	0.9089462208
440	0.9088978078
441	0.9088309861
442	0.9087628611
443	0.9087299586
444	0.9086795045
445	0.908632772
446	0.9085977421
447	0.9085470361
448	0.9084868378
449	0.9084349299
450	0.9083749564
451	0.9083295567
452	0.9082863382
453	0.9082314552
454	0.9081882287
455	0.9081434311
456	0.9080803146
457	0.9080134327
458	0.9079704974
459	0.9078958295
460	0.9078353695
461	0.9077729172
462	0.9077413166
463	0.9076901313
464	0.9076345279
465	0.9075864186
466	0.9075330002
467	0.9074800472
468	0.9074246767
469	0.9073489851
470	0.9073053095
471	0.9072492741
472	0.9072116754
473	0.9071519612
474	0.9071041813
475	0.9070753124
476	0.9070311825
477	0.9069962428
478	0.9069391318
479	0.9068788753
480	0.9068045851
481	0.9067372527
482	0.9066956671
483	0.9066623943
484	0.9066091794
485	0.9065631602
486	0.906518224
487	0.9064558565
488	0.9063982306
489	0.906357317
490	0.9063103282
491	0.9062557696
492	0.9062002847
493	0.9061299081
494	0.9060690155
495	0.9060150002
496	0.9059303325
497	0.9058960334
498	0.9058346386
499	0.9057790631
500	0.9056937751
501	0.9056283879
502	0.905585567
503	0.9055115857
504	0.905447937
505	0.9053890349
506	0.9053175976
507	0.9052554332
508	0.9052140177
509	0.905168462
510	0.9051362642
511	0.9050900444
512	0.9050420749
513	0.9049894198
514	0.9049180801
515	0.904865412
516	0.9048332748
517	0.9047789071
518	0.9047355489
519	0.9046826706
520	0.9046265499
521	0.9045487452
522	0.9045319945
523	0.9044943644
524	0.9044259017
525	0.9043861974
526	0.9043194046
527	0.904251158
528	0.904194012
529	0.904140107
530	0.9040709191
531	0.9040155136
532	0.9039703646
533	0.9039118895
534	0.9038516758
535	0.9037905158
536	0.9037492201
537	0.9037056692
538	0.9036640633
539	0.9035932824
540	0.9035565598
541	0.9035077001
542	0.9034620886
543	0.9034462202
544	0.9033935671
545	0.9033549994
546	0.9033122331
547	0.9032282239
548	0.9031718113
549	0.9031033056
550	0.9030272
551	0.9029615176
552	0.9028980304
553	0.9028369226
554	0.9027877973
555	0.9027219829
556	0.9026980588
557	0.9026574019
558	0.9026103603
559	0.9025688133
560	0.902512106
561	0.9024557301
562	0.9024181035
563	0.9023438246
564	0.9022661928
565	0.9022396279
566	0.9021670319
567	0.9021328721
568	0.9020593683
569	0.9020131882
570	0.9019717289
571	0.9019405638
572	0.9018951717
573	0.9018431936
574	0.9017969561
575	0.9017262227
576	0.9016613848
577	0.9016168643
578	0.9015713627
579	0.9015090958
580	0.9014525131
581	0.9014011241
582	0.9013311193
583	0.9012852543
584	0.9012589376
585	0.9012079104
586	0.9011802893
587	0.9011355367
588	0.9010677632
589	0.9010141311
590	0.9009463268
591	0.9009049366
592	0.9008690584
593	0.9008218045
594	0.9007796272
595	0.9007437179
596	0.9006604594
597	0.9006134247
598	0.9005582527
599	0.900518236
600	0.9004632139
601	0.9004190138
602	0.9003673605
603	0.9003082634
604	0.9002523527
605	0.9002054832
606	0.9001791148
607	0.9001177429
608	0.9000754955
609	0.9000410251
610	0.8999803091
611	0.8999412962
612	0.8998959961
613	0.8998461654
614	0.8998051016
615	0.8997643098
616	0.8997108531
617	0.8996682882
618	0.8996315558
619	0.8995837966
620	0.89951309
621	0.8994548399
622	0.8994044851
623	0.8993546006
624	0.8993073921
625	0.8992671527
626	0.8992324531
627	0.8991919731
628	0.8991385112
629	0.8990891761
630	0.8990079262
631	0.8989693004
632	0.8989141408
633	0.8988562621
634	0.8988120658
635	0.8987210958
636	0.8986804423
637	0.898628177
638	0.8986109887
639	0.8985353791
640	0.8984834698
641	0.8984395397
642	0.8984047766
643	0.8983664174
644	0.8983207112
645	0.898257708
646	0.8982289445
647	0.8981860568
648	0.898139994
649	0.8981008264
650	0.8980517733
651	0.8980036253
652	0.8979566004
653	0.8978904493
654	0.8978333314
655	0.8977812108
656	0.8977192442
657	0.8976868244
658	0.8976367729
659	0.8975697592
660	0.8975189622
661	0.897489749
662	0.8974453137
663	0.8974027238
664	0.8973352858
665	0.8972975608
666	0.8972256087
667	0.8971565364
668	0.8971065937
669	0.8970646798
670	0.8970230489
671	0.8969527001
672	0.8969142264
673	0.8968793066
674	0.8967862963
675	0.8967685614
676	0.8967122272
677	0.8966574827
678	0.8965906588
679	0.8965435634
680	0.8964866485
681	0.8964390801
682	0.8963837545
683	0.8963468939
684	0.8962852822
685	0.8962326203
686	0.8961872792
687	0.8961156178
688	0.8960704791
689	0.8960268138
690	0.8959838492
691	0.8959373514
692	0.8958638338
693	0.8958370738
694	0.8957933675
695	0.895735979
696	0.8956845611
697	0.8956216861
698	0.8955708205
699	0.8955374017
700	0.8954790002
701	0.8954324532
702	0.8954013963
703	0.895334274
704	0.8952826291
705	0.8952294121
706	0.8951729292
707	0.895132187
708	0.8950966061
709	0.8950497991
710	0.8949959109
711	0.894951087
712	0.8948947188
713	0.8948401543
714	0.8947731059
715	0.8947316143
716	0.8946874887
717	0.894644773
718	0.8945976731
719	0.8945550221
720	0.8945146142
721	0.8944738134
722	0.8944317229
723	0.8943570946
724	0.894323387
725	0.8942792862
726	0.8942257864
727	0.8941841073
728	0.8941158372
729	0.8940775625
730	0.8940421309
731	0.8939650563
732	0.8939268998
733	0.8938924051
734	0.8938322984
735	0.8937605357
736	0.8937296568
737	0.893691249
738	0.8936266246
739	0.893587931
740	0.8935498727
741	0.8935089458
742	0.8934637268
743	0.8934023692
744	0.8933488097
745	0.8932675078
746	0.893216275
747	0.8931865886
748	0.8931375879
749	0.8930812187
750	0.8930490874
751	0.8930082261
752	0.8929608252
753	0.8929058916
754	0.8928649711
755	0.8928417395
756	0.892803331
757	0.8927562857
758	0.8927222022
759	0.8926756361
760	0.8926431188
761	0.8925920905
762	0.8925471713
763	0.8925132369
764	0.8924666539
765	0.8924194498
766	0.8923790521
767	0.8923259021
768	0.8922795154
769	0.8922452613
770	0.8921777657
771	0.8921071877
772	0.8920461824
773	0.8920023272
774	0.8919528523
775	0.8919194474
776	0.8918800129
777	0.8918202199
778	0.8917624871
779	0.8917122972
780	0.8916822001
781	0.8916422796
782	0.8915732116
783	0.8915084116
784	0.8914762004
785	0.8914314152
786	0.8913913064
787	0.8913362047
788	0.8912839104
789	0.8912366016
790	0.8912104061
791	0.8911595716
792	0.8911299981
793	0.8910738222
794	0.8910098579
795	0.8909734481
796	0.8909276169
797	0.8908970621
798	0.8908449861
799	0.89078229
800	0.8907498328
801	0.8907060963
802	0.8906699608
803	0.8905977851
804	0.8905271312
805	0.8904988576
806	0.8904445677
807	0.8903993136
808	0.8903747671
809	0.8903357022
810	0.8902662914
811	0.8902106502
812	0.8901515056
813	0.8901086745
814	0.8900588483
815	0.8900150634
816	0.8899503471
817	0.8899139202
818	0.8898385213
819	0.8897984577
820	0.8897522586
821	0.8897266731
822	0.8896659863
823	0.889630777
824	0.8895795428
825	0.8895384937
826	0.8894877075
827	0.8894529754
828	0.889424626
829	0.8893821909
830	0.8893203686
831	0.8892492208
832	0.8892017266
833	0.8891539861
834	0.8891145671
835	0.8890705761
836	0.8890288001
837	0.8889878237
838	0.8889369522
839	0.8889066421
840	0.8888347092
841	0.8887913061
842	0.8887447259
843	0.8886774333
844	0.8886312857
845	0.8885900895
846	0.8885640517
847	0.888523901
848	0.8884759013
849	0.8884513506
850	0.8884262253
851	0.8883760235
852	0.8883182125
853	0.8882596644
854	0.8882205857
855	0.8881921354
856	0.8881268236
857	0.8880619592
858	0.8880121396
859	0.8879479984
860	0.8879099701
861	0.8878719385
862	0.8878109047
863	0.8877662036
864	0.8877331877
865	0.887694876
866	0.8876523654
867	0.8876059078
868	0.8875584265
869	0.8875327309
870	0.8874903398
871	0.8874657815
872	0.8874267753
873	0.8873860558
874	0.8873479991
875	0.8873132304
876	0.8872691764
877	0.8872298633
878	0.8871905759
879	0.8871554191
880	0.8871058309
881	0.8870442406
882	0.887001865
883	0.8869554825
884	0.8869172432
885	0.8868721696
886	0.8868389956
887	0.8868033744
888	0.8867603307
889	0.8867162484
890	0.8866713879
891	0.886629262
892	0.8865868275
893	0.8865358223
894	0.8864950405
895	0.8864337743
896	0.8863923668
897	0.8863778081
898	0.8863158074
899	0.8862646507
900	0.8862278351
901	0.8861652074
902	0.8861041655
903	0.886040139
904	0.885996188
905	0.8859443379
906	0.88590355
907	0.8858755695
908	0.8858245729
909	0.8857864001
910	0.8857479565
911	0.885697168
912	0.8856663188
913	0.8856291067
914	0.8855756566
915	0.8855410965
916	0.8855113824
917	0.8854602662
918	0.8854256598
919	0.8853749723
920	0.8853138996
921	0.8852637268
922	0.8852305803
923	0.8851931707
924	0.8851719407
925	0.8851201113
926	0.8850688304
927	0.8850305823
928	0.884990257
929	0.8849421031
930	0.8849056052
931	0.8848751072
932	0.8848162225
933	0.8847558428
934	0.8847168643
935	0.8846753581
936	0.8846308815
937	0.8846004569
938	0.8845646093
939	0.8845315724
940	0.8844838173
941	0.8844389304
942	0.8844039119
943	0.8843473087
944	0.8843187194
945	0.8842892579
946	0.8842367153
947	0.8841861533
948	0.8841351511
949	0.8841052401
950	0.884061738
951	0.8840249155
952	0.8839638969
953	0.8839171782
954	0.883873489
955	0.883845562
956	0.8838149206
957	0.8837823629
958	0.883732638
959	0.8836902434
960	0.8836417957
961	0.883597529
962	0.8835446089
963	0.8835113523
964	0.8834721182
965	0.883430396
966	0.8833899989
967	0.8833421133
968	0.8833003573
969	0.8832543363
970	0.8832142162
971	0.8831621862
972	0.8831294836
973	0.8830846668
974	0.883026788
975	0.8830025991
976	0.8829451101
977	0.8828942826
978	0.8828422781
979	0.8828054365
980	0.8827794313
981	0.8827180451
982	0.8826899152
983	0.8826566171
984	0.8826085189
985	0.8825739912
986	0.8825171663
987	0.8824817427
988	0.8824376946
989	0.882386466
990	0.8823447424
991	0.8823112482
992	0.8822516823
993	0.882227266
994	0.8821895761
995	0.8821621597
996	0.8821167313
997	0.8820626524
998	0.8820117134
999	0.8819401789
